#Amery = 115, West = 102, Publications = 104, Venable = 53, Abbot = 110, Cosgrove = 54, PIG = 55, Thwaites = 56, crosson = 57, Dotson = 58, Getz = 60, Nickerson = 64, Sulzberger = 65,Brunt = 36, Riiser-Larsen = 37, Quar = 38, Ekstrom = 39, Atka = 124, Jelbaert = 125, Fimbil = 121, Vigrid = 123, Nivlisen = 122, Lazarez = 120, Borchgrevink = 119, Baudouin = 118, Prince Herald = 158, scar inlet = 51, Larsen C = 8, Larsen D = 6, Larsen E = 7, N GVIIS = 45, S GVIIS = 44, Bach = 46, Stange = 52, Wilkins = 50, Ronne = 34, Filchner = 35, Ross West = 70, Ross East = 71, Mertz = 91,  Ninnis = 162, Cook = 90, Rennick = 86, Mariner = 83, Drygalski = 73, Nansen = 74, Dibble = 114, Shackleton = 100, Tracy Tremenchus = 24, Conger Glenzer = 99, Vincennes Bay = 159, Totten = 98, Moscow uni = 157, Holmes = 156
#lat,long,region
-78.5,-155.62,70
-78.5,-76.875,34
-78.5,-75.625,34
-78.5,-74.375,34
-78.5,-73.125,34
-78.5,-71.875,34
-78.5,-70,34
-78.5,-68.125,34
-78.5,-66.875,34
-78.5,-65.625,34
-78.5,-64.375,34
-78.5,-62.5,34
-78.5,-60.625,34
-78.5,-58.75,34
-78.5,-56.875,34
-78.5,-55,34
-78.5,-53.125,34
-78.5,-51.875,34
-78.5,-51.25,34
-78.5,-50.625,34
-78.5,-43.125,35
-78.5,-41.875,35
-78.5,-40.625,35
-78.5,-39.375,35
-78.5,-38.125,35
-78.5,-37.5,35
-78.5,-36.875,35
-78.5,166.88,71
-78.5,167.5,71
-78.5,168.12,71
-78.5,168.75,71
-78.5,170,71
-78.5,171.25,71
-78.5,172.5,71
-78.5,173.75,71
-78.5,175,71
-78.5,176.25,71
-78.5,177.5,71
-78.5,178.75,71
-78,-158.75,70
-78,-80,34
-78,-79.375,34
-78,-72.5,34
-78,-71.25,34
-78,-70,34
-78,-68.75,34
-78,-66.875,34
-78,-65,34
-78,-63.125,34
-78,-61.25,34
-78,-59.375,34
-78,-57.5,34
-78,-55.625,34
-78,-53.75,34
-78,-52.5,34
-78,-51.25,34
-78,-50.625,34
-78,-50,34
-78,-49.375,34
-78,-41.875,35
-78,-41.25,35
-78,166.25,71
-78,166.88,71
-78,167.5,71
-78,168.12,71
-78,168.75,71
-78,170,71
-78,171.25,71
-78,172.5,71
-78,173.75,71
-78,175,71
-78,176.25,71
-77.5,-150.62,65
-77.5,-150,65
-77.5,-73.75,34
-77.5,-73.125,34
-77.5,-71.875,34
-77.5,-70.625,34
-77.5,-69.375,34
-77.5,-67.5,34
-77.5,-65.625,34
-77.5,-64.375,34
-77.5,-62.5,34
-77.5,-61.25,34
-77.5,-60,34
-77.5,-58.125,34
-77.5,-56.25,34
-77.5,-53.75,34
-77.5,-53.125,34
-77.5,-52.5,34
-77.5,-51.875,34
-77.5,-51.25,34
-77.5,-50.625,34
-77.5,-50,34
-77,-149.38,65
-77,-148.12,65
-77,-147.5,65
-77,-146.88,65
-77,-76.25,34
-77,-75.625,34
-77,-75,34
-77,-74.375,34
-77,-73.75,34
-77,-72.5,34
-77,-71.25,34
-77,-70,34
-77,-68.75,34
-77,-67.5,34
-77,-66.25,34
-77,-65.625,34
-77,-64.375,34
-77,-63.125,34
-77,-61.875,34
-77,-60.625,34
-77,-59.375,34
-77,-58.125,34
-77,-56.875,34
-77,-55.625,34
-77,-55,34
-76.5,-148.75,65
-76.5,-148.12,65
-76.5,-147.5,65
-76.5,-146.88,65
-76.5,-77.5,34
-76.5,-67.5,34
-76.5,-66.875,34
-76.5,-66.25,34
-76.5,-65.625,34
-76.5,-65,34
-76.5,-64.375,34
-76.5,-63.75,34
-76.5,-63.125,34
-76.5,-62.5,34
-76.5,-61.25,34
-76.5,-60,34
-76.5,-58.75,34
-76.5,-57.5,34
-76,-65.625,34
-76,-65,34
-76,-64.375,34
-76,-63.75,34
-76,-63.125,34
-76,-62.5,34
-76,-61.875,34
-76,-61.25,34
-76,-60.625,34
-76,-59.375,34
-75.5,-63.125,34
-75.5,-62.5,34
-75.5,-61.875,34
-75.5,-61.25,34
-75.5,-24.375,36
-75.5,-23.75,36
-75.5,-22.5,36
-75.5,-21.875,36
-75.5,-20.625,36
-75,-110,57
-75,-109.38,57
-75,-106.88,56
-75,-106.25,56
-75,-105.62,56
-75,-100.62,55
-75,-100,55
-75,-23.125,36
-75,-22.5,36
-75,-21.875,36
-75,-21.25,36
-75,-20.625,36
-75,-20,36
-75,-19.375,36
-75,-18.75,36
-74.5,-130.62,60
-74.5,-129.38,60
-74.5,-128.75,60
-74.5,-128.12,60
-74.5,-126.88,60
-74.5,-125.62,60
-74.5,-124.38,60
-74.5,-121.25,60
-74.5,-113.12,58
-74.5,-112.5,58
-74.5,-100.62,55
-74.5,-21.875,36
-74.5,-21.25,36
-74.5,-20.625,36
-74.5,-20,36
-74.5,-19.375,36
-74.5,-18.125,36
-74,-126.88,60
-74,-126.25,60
